keep_ratio,sparsity,mass_mean,mass_p05_query_mean,fraction_records_mass_p05_ge_090
0.1,0.9,0.8368732338161984,0.7488225937417371,0.32583405671296295
0.2,0.8,0.9001477861205704,0.8428048528849279,0.5357960792824074
0.25,0.75,0.9182536515148456,0.8707304770500223,0.6182479745370371
0.35,0.65,0.9432323833927944,0.9099544012929093,0.7322337962962963
0.5,0.5,0.9666885852559979,0.9472114930680685,0.839136646412037
0.75,0.25,0.9888938375040717,0.9824759207696317,0.9446090133101852
